Country;Airport;District;Site;Lat;Long;elevation ft;reports;;;;;;;;;
Albania;LAKU;KU;Kukes Arpt;42,034;20,416;1161;METAR, TAF;;;;;;;;;
Albania;LATI;TR;Tirana Intl;41,419;19,716;105;METAR, TAF;;;;;;;;;
Austria;LOAN;NI;Wiener-Neustadt Ost;47,843;16,26;873;METAR, TAF;;;;;;;;;
Austria;LOAV;NI;Vöslau Arpt;47,965;16,259;761;METAR, TAF;;;;;;;;;
Austria;LOIH;VO;Dornbirn Arpt;47,385;9,701;1345;METAR, TAF;;;;;;;;;
Austria;LOLW;;Wels;48,17;14,03;0;;;;;;;;;;
Austria;LOWG;ST;Graz Arpt;46,997;15,447;1106;METAR, TAF;;;;;;;;;
Austria;LOWI;TI;Innsbruck Arpt;47,26;11,344;1870;METAR, TAF;;;;;;;;;
Austria;LOWK;KA;Klagenfurt Arpt;46,648;14,318;1476;METAR, TAF;;;;;;;;;
Austria;LOWL;OB;Linz Arpt;48,233;14,188;951;METAR, TAF;;;;;;;;;
Austria;LOWS;SA;Salzburg/Mozart Arpt;47,789;13,009;1401;METAR, TAF;;;;;;;;;
Austria;LOWW;NE;Vienna Intl;48,117;16,582;587;METAR, TAF;;;;;;;;;
Austria;LOWZ;SA;Zell Am See Arpt;47,292;12,787;2480;METAR, TAF;;;;;;;;;
Austria;LOXA;ST;Aigen Im Ennstal;47,533;14,138;2096;METAR, TAF;;;;;;;;;
Austria;LOXL;OB;Horsching Aus(AB);48,233;14,183;961;;;;;;;;;;
Austria;LOXN;NE;Wiener Neustadt/West Arpt;47,832;16,231;935;;;;;;;;;;
Austria;LOXS;TI;Schwaz;47,333;11,7;1762;;;;;;;;;;
Austria;LOXT;NE;Langenlebarn/Tulln;48,324;16,118;574;METAR, TAF;;;;;;;;;
Austria;LOXZ;ST;Zeltweg Arpt(AB);47,203;14,744;2224;METAR, TAF;;;;;;;;;
Belarus;UMBB;BR;Brest Arpt;52,109;23,897;453;METAR, TAF;;;;;;;;;
Belarus;UMGG;HO;Gomel Arpt;52,525;31,015;443;METAR, TAF;;;;;;;;;
Belarus;UMII;VI;Vitebsk Arpt;55,133;30,36;682;METAR, TAF;;;;;;;;;
Belarus;UMIO;VI;Orsha Arpt;54,44;30,297;620;METAR, TAF;;;;;;;;;
Belarus;UMMG;HR;Hrodna Arpt;53,602;24,056;410;METAR, TAF;;;;;;;;;
Belarus;UMMM;MI;Minsk Intl;53,864;27,54;725;METAR, TAF;;;;;;;;;
Belarus;UMMS;MI;Minsk Arpt;53,883;28,031;643;METAR, TAF;;;;;;;;;
Belarus;UMOO;MA;Mogilev Arpt;53,954;30,1;617;METAR, TAF;;;;;;;;;
Belgium;EBAW;VA;Antwerp Intl;51,189;4,46;23;METAR, TAF;;;;;;;;;
Belgium;EBBE;WA;Beauvechain(AB);50,759;4,768;417;METAR, TAF;;;;;;;;;
Belgium;EBBL;VL;Kleine-Brogel(AB);51,168;5,47;164;METAR, TAF;;;;;;;;;
Belgium;EBBR;VL;Brussels Intl;50,896;4,526;161;METAR, TAF;;;;;;;;;
Belgium;EBBT;VA;Brasschaat (MIL);51,345;4,503;66;METAR, TAF;;;;;;;;;
Belgium;EBBX;WA;Bertrix Bel-AFB;49,891;5,225;1503;;;;;;;;;;
Belgium;EBCI;WH;Charleroi Arpt;50,459;4,454;577;METAR, TAF;;;;;;;;;
Belgium;EBCV;WH;Chièvres Arpt(AB);50,576;3,831;184;METAR, TAF;;;;;;;;;
Belgium;EBDT;VL;Schaffen(AB);51,005;5,067;82;METAR, TAF;;;;;;;;;
Belgium;EBFN;VW;Koksijde(AB);51,09;2,653;30;METAR, TAF;;;;;;;;;
Belgium;EBFS;WN;Florennes(AB);50,243;4,646;906;METAR, TAF;;;;;;;;;
Belgium;EBGT;VO;Gent/Industry Zone;51,188;3,808;23;;;;;;;;;;
Belgium;EBLB;WL;Elsenborn(AB);50,482;6,181;1847;METAR, TAF;;;;;;;;;
Belgium;EBLG;WL;Bierset/Liège Arpt;50,637;5,443;614;METAR, TAF;;;;;;;;;
Belgium;EBMB;VL;Melsbroek (AFB);50,909;4,497;105;;;;;;;;;;
Belgium;EBMT;WA;Munte (MIL);50,941;3,67;125;;;;;;;;;;
Belgium;EBOS;VH;Oostende-Bruges Intl;51,199;2,862;16;METAR, TAF;;;;;;;;;
Belgium;EBSP;WL;Spa/La Sauveniere;50,479;5,91;1555;;;;;;;;;;
Belgium;EBST;VL;St Truiden(BAFB);50,792;5,202;20;;;;;;;;;;
Belgium;EBSU;WL;Saint Hubert (MIL);50,039;5,404;1814;METAR;;;;;;;;;
Belgium;EBTN;VL;Goetsenhoven (MIL);50,782;4,958;220;;;;;;;;;;
Belgium;EBWE;VA;Weelde(MIL);51,399;4,976;98;;;;;;;;;;
Belgium;EBZW;VL;Genk/Zwartberg Arpt;51,014;5,524;276;;;;;;;;;;
Bosnia;LQBI;BI;Bihac;44,817;15,883;728;;;;;;;;;;
Bosnia;LQBK;SR;Banja Luka Intl;44,937;17,299;374;METAR, TAF;;;;;;;;;
Bosnia;LQLV;BI;Livno;43,825;17,008;2421;;;;;;;;;;
Bosnia;LQMO;BI;Mostar Intl;43,285;17,84;161;METAR, TAF;;;;;;;;;
Bosnia;LQSA;BI;Sarajevo Intl;43,825;18,331;1657;METAR, TAF;;;;;;;;;
Bosnia;LQTZ;BI;Tuzla Intl;44,461;18,728;794;METAR, TAF;;;;;;;;;
Bulgaria;LBBG;BU;Burgas Arpt;42,569;27,514;135;METAR, TAF;;;;;;;;;
Bulgaria;LBGO;LO;Gorna Orechovista Arpt;43,151;25,713;276;METAR, TAF;;;;;;;;;
Bulgaria;LBIA;BU;Bezmer(AB);42,456;26,352;509;;;;;;;;;;
Bulgaria;LBPD;PL;Plovdiv Arpt;42,064;24,86;597;METAR, TAF;;;;;;;;;
Bulgaria;LBPG;PL;Graf Ignatievo(AB);42,289;24,714;650;METAR, TAF;;;;;;;;;
Bulgaria;LBPL;LO;Dola Mitropoliya(AB);43,453;24,504;305;;;;;;;;;;
Bulgaria;LBRS;RA;Rousse/Ruse Arpt;43,692;26,051;587;;;;;;;;;;
Bulgaria;LBSF;SO;Sofia Intl;42,694;23,414;1742;METAR, TAF;;;;;;;;;
Bulgaria;LBWB;VA;Balchik(AB);43,425;28,175;623;;;;;;;;;;
Bulgaria;LBWN;VA;Varna Intl;43,232;27,825;243;METAR, TAF;;;;;;;;;
Cyprus;LCEN;LE;Ercan Arpt;35,155;33,496;299;METAR, TAF;;;;;;;;;
Cyprus;LCLK;LA;Larnaca Intl;34,874;33,617;7;METAR, TAF;;;;;;;;;
Cyprus;LCNC;LE;Nicosia/Athalassa;35,141;33,396;522;METAR, TAF;;;;;;;;;
Cyprus;LCPH;PA;Paphos Intl;34,715;32,479;26;METAR, TAF;;;;;;;;;
Cyprus;LCRA;LE;Akrotiri Arpt(RAF);34,59;32,988;75;METAR, TAF;;;;;;;;;
Czechia;LKCV;ST;Caslav Arpt;49,94;15,382;768;METAR, TAF;;;;;;;;;
Czechia;LKKB;PR;Prague/Kbely Arpt;50,123;14,538;922;METAR, TAF;;;;;;;;;
Czechia;LKKU;ZL;Kunovice Arpt;49,042;17,442;577;;;;;;;;;;
Czechia;LKKV;KA;Karlovy Vary Intl;50,202;12,91;1969;METAR, TAF;;;;;;;;;
Czechia;LKKZ;;Kosice Intl;48,664;21,242;761;;;;;;;;;;
Czechia;LKLB;LI;Liberec Arpt;50,77;15,024;1302;;;;;;;;;;
Czechia;LKLN;PL;Plzeň-Líně Arpt;49,675;13,275;1158;;;;;;;;;;
Czechia;LKMT;MO;Ostrava/Janáček Arpt;49,696;18,111;823;METAR, TAF;;;;;;;;;
Czechia;LKNA;VY;Namest nad Oslavou Arpt;49,166;16,125;1509;METAR, TAF;;;;;;;;;
Czechia;LKPD;PA;Pardubice Arpt;50,016;15,74;741;METAR, TAF;;;;;;;;;
Czechia;LKPO;OL;Prerov Arpt;49,424;17,406;659;METAR, TAF;;;;;;;;;
Czechia;LKPP;TV;Piestany;48,613;17,832;525;;;;;;;;;;
Czechia;LKPR;ST;Prague/Havel Arpt;50,101;14,26;1194;METAR, TAF;;;;;;;;;
Czechia;LKSL;;Sliac;48,63;19,14;1043;;;;;;;;;;
Czechia;LKTB;JM;Brno/Tuřany Arpt;49,151;16,694;764;METAR, TAF;;;;;;;;;
Czechia;LKVO;ST;Vodochody Arpt;50,217;14,396;902;;;;;;;;;;
Denmark;EKAH;MI;Tirstrup Arpt;56,3;10,619;82;METAR, TAF;;;;;;;;;
Denmark;EKAT;MI;Anholt Island Arpt;56,699;11,556;23;;;;;;;;;;
Denmark;EKAV;SJ;Avnø (AFB);55,083;11,783;13;;;;;;;;;;
Denmark;EKBI;SY;Billund Arpt;55,74;9,152;220;METAR, TAF;;;;;;;;;
Denmark;EKCH;HO;Kobenhavn Intl;55,618;12,656;13;METAR, TAF;;;;;;;;;
Denmark;EKEB;SY;Esbjerg Arpt;55,528;8,563;95;METAR, TAF;;;;;;;;;
Denmark;EKGC;;Gorm;55,58;4,759;315;METAR, TAF;;;;;;;;;
Denmark;EKGF;;Tyra Oest;55,721;4,802;141;METAR, TAF;;;;;;;;;
Denmark;EKHA;;Halfdan;55,531;5,004;312;;;;;;;;;;
Denmark;EKHD;;Harald;56,344;4,272;312;METAR, TAF;;;;;;;;;
Denmark;EKHN;;Horns Rev B;55,6;7,624;33;;;;;;;;;;
