Country;Waypoint;Latitude;Longitude;;;;;;;;;;;
Albania;ADDER;40,523889;20,30472222;;;;;;;;;;;
Albania;AKIKA;42,534167;19,60388889;;;;;;;;;;;
Albania;DIMIS;40,072500;20,59472222;;;;;;;;;;;
Albania;DIRES;41,057794;19,19242778;;;;;;;;;;;
Albania;DITAN;40,999986;19,35168889;;;;;;;;;;;
Albania;DOBAR;41,332778;20,49472222;;;;;;;;;;;
Albania;ELBAK;40,998483;19,99213611;;;;;;;;;;;
Albania;GOKEL;40,598333;19;;;;;;;;;;;
Albania;GRIBA;40,475000;19,62;;;;;;;;;;;
Albania;INLOT;41,843639;19,51715833;;;;;;;;;;;
Albania;MAGGI;41,184167;19,37666667;;;;;;;;;;;
Albania;MAVAR;41,670000;20,53;;;;;;;;;;;
Albania;NIKRO;39,665833;20,12;;;;;;;;;;;
Albania;ODRAS;41,542397;20,11889444;;;;;;;;;;;
Albania;OVVER;40,541667;20,01277778;;;;;;;;;;;
Albania;PAPIZ;40,891667;18,95166667;;;;;;;;;;;
Albania;PETAK;41,775278;19,31388889;;;;;;;;;;;
Albania;TRN01;41,432767;19,71679167;;;;;;;;;;;
Albania;TRN03;41,466050;19,71399444;;;;;;;;;;;
Albania;TRN05;41,590864;19,70346944;;;;;;;;;;;
Albania;TRN08;41,283897;19,74164167;;;;;;;;;;;
Albania;TRN11;41,399597;19,72112778;;;;;;;;;;;
Albania;TRN26;41,616917;19,55974444;;;;;;;;;;;
Albania;TRN33;41,361581;19,727875;;;;;;;;;;;
Albania;TRN41;41,640925;19,63440278;;;;;;;;;;;
Albania;TRN48;41,745836;19,65145556;;;;;;;;;;;
Albania;TRN50;41,333483;19,73285833;;;;;;;;;;;
Albania;TRN53;41,649108;19,69854444;;;;;;;;;;;
Albania;TRN65;41,524297;19,70908611;;;;;;;;;;;
Albania;TRN69;41,201250;19,75625;;;;;;;;;;;
Albania;TRN73;41,149842;19,740475;;;;;;;;;;;
Albania;TRN80;41,199717;19,70126667;;;;;;;;;;;
Albania;TRN87;41,202878;19,66646944;;;;;;;;;;;
Albania;TUMBO;40,067222;20,47277778;;;;;;;;;;;
Albania;UNDER;41,068517;19,94741389;;;;;;;;;;;
Austria;ABIRI;46,762503;14,96757222;;;;;;;;;;;
Austria;ABRUK;47,383131;15,00663056;;;;;;;;;;;
Austria;ADILO;47,345814;10,94765278;;;;;;;;;;;
Austria;ADLET;48,567600;14,29928333;;;;;;;;;;;
Austria;ALILA;47,216447;11,55366389;;;;;;;;;;;
Austria;ALMER;48,018503;14,33218056;;;;;;;;;;;
Austria;ARTUS;47,497592;12,27026667;;;;;;;;;;;
Austria;ASKOD;47,385558;15,87129444;;;;;;;;;;;
Austria;BADIT;48,164444;12,83444444;;;;;;;;;;;
Austria;BAGSI;48,057819;14,28971667;;;;;;;;;;;
Austria;BAMPA;47,911753;16,80506111;;;;;;;;;;;
Austria;BARUG;47,896825;15,35553611;;;;;;;;;;;
Austria;BERAS;47,359367;11,769575;;;;;;;;;;;
Austria;BERTA;46,449708;14,62523611;;;;;;;;;;;
Austria;BILDU;47,170556;10,66166667;;;;;;;;;;;
Austria;BIRGI;47,347778;11,92388889;;;;;;;;;;;
Austria;BRK63;48,110317;16,57690278;;;;;;;;;;;
Austria;BRK94;48,124578;16,53467778;;;;;;;;;;;
Austria;BUMUK;47,402292;13,50656944;;;;;;;;;;;
Austria;DEGAB;48,705683;13,93149444;;;;;;;;;;;
Austria;DENED;47,269581;11,08691389;;;;;;;;;;;
Austria;DENUX;48,070369;15,88066111;;;;;;;;;;;
Austria;DIVAL;47,554908;16,12964167;;;;;;;;;;;
Austria;DORAP;47,472736;9,600972222;;;;;;;;;;;
Austria;ELKAT;46,991006;13,90550556;;;;;;;;;;;
Austria;ELMEM;47,284761;10,569675;;;;;;;;;;;
Austria;ELSIS;46,758761;15,61140833;;;;;;;;;;;
Austria;ERANI;47,733858;12,95303333;;;;;;;;;;;
Austria;ERKIR;47,537778;12,00888889;;;;;;;;;;;
Austria;GAMLI;47,906667;14,77888889;;;;;;;;;;;
Austria;GIMBO;48,725364;14,77583056;;;;;;;;;;;
Austria;GIMIX;46,522128;13,71310556;;;;;;;;;;;
Austria;GIRIS;46,771781;10,88412222;;;;;;;;;;;
Austria;GISPO;48,098797;16,12953333;;;;;;;;;;;
Austria;GRZ40;47,486008;14,85786944;;;;;;;;;;;
Austria;INTEG;47,150556;9,935833333;;;;;;;;;;;
Austria;KFT25;46,901442;14,14790556;;;;;;;;;;;
Austria;KLAGY;46,514300;14,77516944;;;;;;;;;;;
Austria;KOGEX;47,113247;15,28705833;;;;;;;;;;;
Austria;KOVEL;48,700903;15,59708333;;;;;;;;;;;
Austria;KUSAM;47,137222;10,28194444;;;;;;;;;;;
Austria;LADAG;48,588981;15,04110556;;;;;;;;;;;
Austria;LANUX;48,888106;15,61578889;;;;;;;;;;;
Austria;LEOBE;47,363689;15,02696389;;;;;;;;;;;
Austria;LIMRA;47,910981;14,44778333;;;;;;;;;;;
Austria;LITLI;47,355989;10,04448333;;;;;;;;;;;
Austria;LIVDU;47,880411;16,08106667;;;;;;;;;;;
Austria;LIZUM;47,115069;11,75603611;;;;;;;;;;;
Austria;LNZ01;48,083272;14,26771111;;;;;;;;;;;
Austria;LNZ08;48,236231;14,40094444;;;;;;;;;;;
Austria;LNZ10;48,386186;14,188675;;;;;;;;;;;
Austria;LNZ11;48,085214;14,27150278;;;;;;;;;;;
Austria;LNZ17;48,443061;13,82396944;;;;;;;;;;;
Austria;LNZ20;48,448758;14,22303056;;;;;;;;;;;
Austria;LNZ24;48,014517;14,57650278;;;;;;;;;;;
Austria;LNZ27;48,232828;14,17030278;;;;;;;;;;;
Austria;LNZ35;47,769089;14,63555;;;;;;;;;;;
Austria;LNZ40;48,264983;14,01853611;;;;;;;;;;;
Austria;LNZ41;48,235569;14,21959167;;;;;;;;;;;
Austria;LNZ42;47,914125;14,46924444;;;;;;;;;;;
Austria;LNZ50;48,223836;13,97883333;;;;;;;;;;;
Austria;LNZ53;47,762950;14,62351389;;;;;;;;;;;
Austria;LNZ60;48,279292;14,44194444;;;;;;;;;;;
Austria;LNZ67;48,216981;13,754725;;;;;;;;;;;
Austria;LNZ70;48,263872;14,44711944;;;;;;;;;;;
Austria;LNZ71;48,325858;13,70418333;;;;;;;;;;;
Austria;LNZ79;48,301425;14,66676111;;;;;;;;;;;
Austria;LNZNB;48,237100;14,32178333;;;;;;;;;;;
Austria;LUGIM;48,185619;15,10902222;;;;;;;;;;;
Austria;MALUG;46,706111;12,5975;;;;;;;;;;;
Austria;MAREG;48,190489;16,96908889;;;;;;;;;;;
Austria;MASUR;48,520097;15,43929167;;;;;;;;;;;
Austria;MATIG;48,058592;13,54149444;;;;;;;;;;;
Austria;MILGO;47,301711;15,09165;;;;;;;;;;;
Austria;MOGTI;47,388981;10,71683611;;;;;;;;;;;
Austria;MOPIP;48,226156;13,82700833;;;;;;;;;;;
Austria;MORED;47,876353;13,01545556;;;;;;;;;;;
Austria;MOTIX;48,318500;14,58564444;;;;;;;;;;;
Austria;NAKUM;46,725025;14,35131111;;;;;;;;;;;
Austria;NAMAG;48,220083;13,85414444;;;;;;;;;;;
Austria;NANIT;47,393019;12,34643611;;;;;;;;;;;
Austria;NATAG;46,857992;10,61875;;;;;;;;;;;
Austria;NEMAL;47,918056;13,49833333;;;;;;;;;;;
Austria;NEVAG;46,663394;14,13443889;;;;;;;;;;;
Austria;NIGEB;47,089139;11,076875;;;;;;;;;;;
Austria;NIGSI;47,369167;16,03611111;;;;;;;;;;;
Austria;NIMDU;47,171986;14,78267778;;;;;;;;;;;
Austria;NOKDA;46,855617;13,508125;;;;;;;;;;;
Austria;NORIN;47,386603;11,40229722;;;;;;;;;;;
Austria;NORTO;47,266356;11,25182222;;;;;;;;;;;
Austria;OBEDI;47,327897;13,32974722;;;;;;;;;;;
Austria;OEN11;48,072547;16,59804722;;;;;;;;;;;
Austria;OES03;47,846972;12,97240833;;;;;;;;;;;
Austria;OES81;47,925761;12,92521389;;;;;;;;;;;
